strategy,amount_mxn,horizon_days,rate_shock_bp,institution,type,product,term_days,rate_annual,allocated_mxn,gross_interest_mxn
D. All in best SOFIPO fixed term,300000,365,0,Finsus,SOFIPO,Fixed term 365d,365,0.0869,300000,26070.0
"E. Split, protected products only",300000,365,0,Revolut,Bank,Savings (on demand),0,0.15,25000,3750.0
"E. Split, protected products only",300000,365,0,Ualá,Bank,On demand (Plus),0,0.15,30000,4500.0
"E. Split, protected products only",300000,365,0,DiDi,SOFIPO,On demand,0,0.15,10000,1500.0
"E. Split, protected products only",300000,365,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3750.0
"E. Split, protected products only",300000,365,0,Nu,Bank,Cajita Turbo,0,0.13,25000,3250.0
"E. Split, protected products only",300000,365,0,Openbank,Bank,Apartados Open,0,0.13,30000,3900.0
"E. Split, protected products only",300000,365,0,Mifel,Bank,Cuenta Digital,0,0.1,155000,15500.0
"F. Split, including Mercado Pago",300000,365,0,Revolut,Bank,Savings (on demand),0,0.15,25000,3750.0
"F. Split, including Mercado Pago",300000,365,0,Ualá,Bank,On demand (Plus),0,0.15,30000,4500.0
"F. Split, including Mercado Pago",300000,365,0,Mercado Pago,Fintech,Apartados with Meli+,0,0.15,25000,3750.0
"F. Split, including Mercado Pago",300000,365,0,DiDi,SOFIPO,On demand,0,0.15,10000,1500.0
"F. Split, including Mercado Pago",300000,365,0,Klar,SOFIPO,Inversión Max (Plus/Platino),0,0.15,25000,3750.0
"F. Split, including Mercado Pago",300000,365,0,Nu,Bank,Cajita Turbo,0,0.13,25000,3250.0
"F. Split, including Mercado Pago",300000,365,0,Openbank,Bank,Apartados Open,0,0.13,30000,3900.0
"F. Split, including Mercado Pago",300000,365,0,Mercado Pago,Fintech,On demand (no Meli+),0,0.12,25000,3000.0
"F. Split, including Mercado Pago",300000,365,0,Mifel,Bank,Cuenta Digital,0,0.1,105000,10500.0
A. All in Stori on demand (SOFIPO),300000,365,50,Stori,SOFIPO,On demand,0,0.0725,300000,20619.86
B. All in Nu Cajita (bank),300000,365,50,Nu,Bank,Cajita (on demand),0,0.065,300000,18369.86
C. All in CETES (GBM),300000,365,50,CETES (via GBM or Cetesdirecto),Government,CETES 364d,365,0.0724,300000,21720.0
D. All in best SOFIPO fixed term,300000,365,50,Finsus,SOFIPO,Fixed term 365d,365,0.0869,300000,26070.0
"E. Split, protected products only",300000,365,50,Revolut,Bank,Savings (on demand),0,0.15,25000,3655.82
"E. Split, protected products only",300000,365,50,Ualá,Bank,On demand (Plus),0,0.15,30000,4386.99
